Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9706.02, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),37.90%,62.10%,0.00%,0.00%,(X),1.00%,2.70%,18.50%,29.30%,26.40%,9.10%,12.90%,96.30%,22.00%,(X),100.00%,3.40%,(X),100.00%,0.00%,(X),93.90%,27.10%,(X),96.10%,34.40%,,(X),95.80%,24.60%,(X),95.80%,24.60%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,0.00%,0.00%,0.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.02, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±49.5,±49.5,±61.1,±61.1,(X),±1.7,±3.8,±10.7,±9.5,±11.8,±5.4,±5.7,±4.3,±7.4,(X),±27.9,±5.3,(X),±73.6,±73.6,(X),±8.7,±14.0,(X),±6.4,±18.5,,(X),±4.8,±8.7,(X),±4.8,±8.7,(X),**,**,(X),**,**,(X),±46.5,±46.5,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,±77.5,±34.3,±13.8,±30.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.02, Carteret County, North Carolina!!Female!!Estimate",,37,0,0,37,0,397,0,0,80,60,63,149,45,397,194,35,35,35,28,28,24,228,228,114,106,106,21,,381,381,178,381,381,178,0,0,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,"52,906",-,"16,400","67,813","53,000","90,156"
"Census Tract 9706.02, Carteret County, North Carolina!!Female!!Margin of Error",,±24,±13,±13,±24,±13,±61,±13,±13,±43,±37,±37,±38,±27,±61,±55,±33,±33,±33,±24,±24,±23,±48,±48,±32,±33,±33,±17,,±57,±57,±53,±57,±57,±53,±13,±13,±13,±13,±13,±13,±20,±20,±20,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,"±14,112",**,"±6,710","±44,998","±9,582","±62,467"
"Census Tract 9706.02, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,0.00%,100.00%,0.00%,(X),0.00%,0.00%,20.20%,15.10%,15.90%,37.50%,11.30%,100.00%,48.90%,(X),100.00%,100.00%,(X),100.00%,85.70%,(X),100.00%,50.00%,(X),100.00%,19.80%,,(X),100.00%,46.70%,(X),100.00%,46.70%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,7.50%,0.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.02, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±54.1,±54.1,±54.1,±54.1,(X),±9.6,±9.6,±9.9,±9.0,±9.5,±8.8,±6.3,±9.6,±12.1,(X),±55.6,±55.6,(X),±62.2,±22.7,(X),±16.0,±14.4,(X),±30.4,±17.4,,(X),±10.0,±12.5,(X),±10.0,±12.5,(X),**,**,(X),**,**,(X),±82.2,±82.2,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,±10.8,±27.2,±18.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.03, Carteret County, North Carolina!!Total!!Estimate",,107,36,45,26,0,"1,002",42,97,349,268,133,71,42,863,113,214,169,10,181,170,9,414,370,81,193,154,13,,872,742,108,872,742,108,48,48,5,0,0,0,0,0,0,0,0,0,77,73,0,5,0,0,77,73,0,,(X),(X),(X),(X),,"31,918",-,"30,536","31,318","73,710","58,304"
"Census Tract 9706.03, Carteret County, North Carolina!!Total!!Margin of Error",,±77,±61,±38,±34,±13,±181,±38,±46,±112,±85,±56,±39,±30,±179,±52,±107,±99,±16,±85,±85,±14,±76,±75,±41,±54,±48,±15,,±159,±151,±51,±159,±151,±51,±61,±61,±9,±13,±13,±13,±13,±13,±13,±13,±13,±13,±78,±78,±13,±9,±13,±13,±78,±78,±13,,(X),(X),(X),(X),,"±8,889",**,"±9,893","±9,140","±1,127","±34,734"
"Census Tract 9706.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),33.60%,42.10%,24.30%,0.00%,(X),4.20%,9.70%,34.80%,26.70%,13.30%,7.10%,4.20%,86.10%,11.30%,(X),79.00%,4.70%,(X),93.90%,5.00%,(X),89.40%,19.60%,(X),79.80%,6.70%,,(X),85.10%,12.40%,(X),85.10%,12.40%,(X),100.00%,10.40%,(X),-,-,(X),-,-,(X),-,-,(X),94.80%,0.00%,(X),0.00%,0.00%,(X),94.80%,0.00%,,31.70%,13.50%,20.40%,4.40%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±39.3,±34.0,±27.2,±30.2,(X),±3.8,±4.5,±7.0,±7.0,±4.9,±4.0,±2.9,±6.0,±5.4,(X),±16.8,±7.9,(X),±8.4,±8.2,(X),±6.0,±10.0,(X),±13.9,±7.4,,(X),±6.1,±5.9,(X),±6.1,±5.9,(X),±47.5,±21.2,(X),**,**,(X),**,**,(X),**,**,(X),±19.8,±37.5,(X),±100.0,±100.0,(X),±19.8,±37.5,,±22.2,±7.5,±11.8,±7.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.03, Carteret County, North Carolina!!Male!!Estimate",,17,17,0,0,0,515,31,61,193,145,16,37,32,423,69,105,73,10,71,71,9,237,202,42,102,77,8,,422,335,69,422,335,69,32,32,0,0,0,0,0,0,0,0,0,0,56,56,0,5,0,0,56,56,0,,(X),(X),(X),(X),,"32,449",-,-,"31,371","73,984",-
"Census Tract 9706.03, Carteret County, North Carolina!!Male!!Margin of Error",,±50,±50,±13,±13,±13,±103,±27,±35,±72,±67,±15,±24,±30,±99,±35,±54,±53,±16,±56,±56,±14,±49,±51,±22,±39,±33,±13,,±75,±70,±35,±75,±70,±35,±41,±41,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±55,±55,±13,±9,±13,±13,±55,±55,±13,,(X),(X),(X),(X),,"±16,715",**,**,"±15,749","±40,267",**
"Census Tract 9706.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),100.00%,0.00%,0.00%,0.00%,(X),6.00%,11.80%,37.50%,28.20%,3.10%,7.20%,6.20%,82.10%,13.40%,(X),69.50%,9.50%,(X),100.00%,12.70%,(X),85.20%,17.70%,(X),75.50%,7.80%,,(X),79.40%,16.40%,(X),79.40%,16.40%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),0.00%,0.00%,(X),100.00%,0.00%,,28.30%,13.50%,16.80%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±79.8,±79.8,±79.8,±79.8,(X),±5.0,±6.6,±10.1,±10.4,±2.9,±4.9,±6.2,±9.1,±7.7,(X),±28.2,±17.1,(X),±39.0,±23.4,(X),±9.9,±9.6,(X),±17.4,±12.5,,(X),±10.2,±9.0,(X),±10.2,±9.0,(X),±58.2,±58.2,(X),**,**,(X),**,**,(X),**,**,(X),±44.0,±44.0,(X),±100.0,±100.0,(X),±44.0,±44.0,,±26.0,±11.5,±15.7,±39.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.03, Carteret County, North Carolina!!Female!!Estimate",,90,19,45,26,0,487,11,36,156,123,117,34,10,440,44,109,96,0,110,99,0,177,168,39,91,77,5,,450,407,39,450,407,39,16,16,5,0,0,0,0,0,0,0,0,0,21,17,0,0,0,0,21,17,0,,(X),(X),(X),(X),,"29,539","15,938",-,"31,042",-,-
"Census Tract 9706.03, Carteret County, North Carolina!!Female!!Margin of Error",,±54,±33,±38,±34,±13,±118,±16,±30,±68,±47,±55,±26,±13,±111,±25,±68,±66,±13,±46,±45,±13,±51,±50,±23,±35,±30,±9,,±115,±106,±23,±115,±106,±23,±22,±22,±9,±13,±13,±13,±13,±13,±13,±13,±13,±13,±29,±27,±13,±13,±13,±13,±29,±27,±13,,(X),(X),(X),(X),,"±14,821","±13,777",**,"±22,843",**,**
"Census Tract 9706.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),21.10%,50.00%,28.90%,0.00%,(X),2.30%,7.40%,32.00%,25.30%,24.00%,7.00%,2.10%,90.30%,9.00%,(X),88.10%,0.00%,(X),90.00%,0.00%,(X),94.90%,22.00%,(X),84.60%,5.50%,,(X),90.40%,8.70%,(X),90.40%,8.70%,(X),100.00%,31.30%,(X),-,-,(X),-,-,(X),-,-,(X),81.00%,0.00%,(X),-,-,(X),81.00%,0.00%,,38.30%,13.50%,22.90%,11.40%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±34.8,±36.4,±30.1,±34.1,(X),±3.2,±5.7,±9.0,±8.9,±9.9,±5.3,±2.5,±6.0,±5.1,(X),±14.0,±29.8,(X),±12.9,±29.6,(X),±5.9,±14.4,(X),±20.3,±9.4,,(X),±6.0,±5.1,(X),±6.0,±5.1,(X),±82.2,±51.4,(X),**,**,(X),**,**,(X),**,**,(X),±58.6,±71.8,(X),**,**,(X),±58.6,±71.8,,±35.7,±10.6,±13.7,±18.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.06, Carteret County, North Carolina!!Total!!Estimate",,131,0,20,106,5,"2,975",14,60,603,563,308,819,608,"2,901","1,427",232,215,141,333,333,157,"1,134","1,100",512,"1,276","1,253",617,,"2,815","2,753","1,360","2,760","2,698","1,327",36,36,4,0,0,0,84,72,32,0,0,0,0,0,0,40,40,31,55,55,33,,(X),(X),(X),(X),,"44,922",-,"43,125","26,250","57,500","63,563"
"Census Tract 9706.06, Carteret County, North Carolina!!Total!!Margin of Error",,±60,±13,±19,±56,±8,±283,±13,±37,±151,±124,±80,±185,±122,±283,±247,±88,±90,±80,±112,±112,±88,±217,±213,±191,±136,±137,±108,,±277,±276,±238,±278,±277,±233,±47,±47,±6,±13,±13,±13,±66,±55,±33,±13,±13,±13,±13,±13,±13,±17,±17,±16,±36,±36,±25,,(X),(X),(X),(X),,"±9,835",**,"±15,024","±12,642","±24,876","±10,890"
"Census Tract 9706.06, Carteret County, North Carolina!!Percent!!Estimate",,(X),0.00%,15.30%,80.90%,3.80%,(X),0.50%,2.00%,20.30%,18.90%,10.40%,27.50%,20.40%,97.50%,48.00%,(X),92.70%,60.80%,(X),100.00%,47.10%,(X),97.00%,45.10%,(X),98.20%,48.40%,,(X),97.80%,48.30%,(X),97.80%,48.10%,(X),100.00%,11.10%,(X),-,-,(X),85.70%,38.10%,(X),-,-,(X),-,-,(X),100.00%,77.50%,(X),100.00%,60.00%,,21.60%,2.70%,8.80%,1.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.06, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±25.8,±13.3,±15.0,±6.9,(X),±0.5,±1.3,±4.8,±3.8,±2.8,±4.9,±3.7,±1.3,±6.0,(X),±8.7,±20.3,(X),±11.3,±19.2,(X),±2.6,±11.4,(X),±1.4,±6.9,,(X),±1.2,±6.2,(X),±1.3,±6.1,(X),±54.8,±24.3,(X),**,**,(X),±14.3,±44.6,(X),**,**,(X),**,**,(X),±52.0,±21.1,(X),±44.4,±35.4,,±22.6,±3.2,±4.7,±0.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.06, Carteret County, North Carolina!!Male!!Estimate",,73,0,15,53,5,"1,475",9,34,327,269,109,447,280,"1,432",727,96,91,61,245,245,110,518,495,232,616,601,324,,"1,386","1,343",710,"1,363","1,320",703,32,32,0,0,0,0,55,55,15,0,0,0,0,0,0,2,2,2,23,23,7,,(X),(X),(X),(X),,"66,458",-,"45,795","53,250","88,500","79,167"
"Census Tract 9706.06, Carteret County, North Carolina!!Male!!Margin of Error",,±44,±13,±18,±41,±8,±177,±11,±32,±113,±78,±55,±142,±66,±176,±151,±57,±57,±48,±106,±106,±84,±124,±121,±100,±97,±100,±75,,±169,±169,±144,±167,±167,±142,±47,±47,±13,±13,±13,±13,±50,±50,±21,±13,±13,±13,±13,±13,±13,±2,±2,±2,±24,±24,±12,,(X),(X),(X),(X),,"±13,071",**,"±22,816","±32,292","±53,543","±25,413"
"Census Tract 9706.06, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,20.50%,72.60%,6.80%,(X),0.60%,2.30%,22.20%,18.20%,7.40%,30.30%,19.00%,97.10%,49.30%,(X),94.80%,63.50%,(X),100.00%,44.90%,(X),95.60%,44.80%,(X),97.60%,52.60%,,(X),96.90%,51.20%,(X),96.80%,51.60%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,27.30%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,30.40%,,0.00%,3.40%,5.30%,1.20%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.06, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±38.5,±23.6,±26.8,±12.1,(X),±0.7,±2.2,±6.9,±5.2,±3.8,±7.7,±4.8,±2.3,±7.5,(X),±7.7,±27.9,(X),±15.0,±25.5,(X),±5.5,±14.3,(X),±2.4,±10.7,,(X),±2.4,±7.8,(X),±2.5,±7.7,(X),±58.2,±58.2,(X),**,**,(X),±44.4,±45.6,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±68.6,±45.7,,±50.2,±5.5,±7.4,±1.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.06, Carteret County, North Carolina!!Female!!Estimate",,58,0,5,53,0,"1,500",5,26,276,294,199,372,328,"1,469",700,136,124,80,88,88,47,616,605,280,660,652,293,,"1,429","1,410",650,"1,397","1,378",624,4,4,4,0,0,0,29,17,17,0,0,0,0,0,0,38,38,29,32,32,26,,(X),(X),(X),(X),,"24,702",-,-,"11,541","42,955","52,569"
"Census Tract 9706.06, Carteret County, North Carolina!!Female!!Margin of Error",,±34,±13,±7,±30,±13,±144,±8,±21,±68,±95,±54,±93,±94,±147,±136,±46,±46,±39,±35,±35,±22,±125,±125,±102,±95,±93,±71,,±144,±145,±131,±148,±148,±129,±6,±6,±6,±13,±13,±13,±23,±19,±19,±13,±13,±13,±13,±13,±13,±16,±16,±15,±22,±22,±20,,(X),(X),(X),(X),,"±8,865",**,**,"±1,628","±10,600","±19,491"
"Census Tract 9706.06, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,8.60%,91.40%,0.00%,(X),0.30%,1.70%,18.40%,19.60%,13.30%,24.80%,21.90%,97.90%,46.70%,(X),91.20%,58.80%,(X),100.00%,53.40%,(X),98.20%,45.50%,(X),98.80%,44.40%,,(X),98.70%,45.50%,(X),98.60%,44.70%,(X),100.00%,100.00%,(X),-,-,(X),58.60%,58.60%,(X),-,-,(X),-,-,(X),100.00%,76.30%,(X),100.00%,81.30%,,51.60%,1.80%,11.60%,0.70%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9706.06, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±43.2,±10.4,±10.4,±43.2,(X),±0.6,±1.4,±4.6,±5.6,±3.6,±5.6,±5.7,±1.4,±7.4,(X),±11.9,±20.9,(X),±34.6,±22.8,(X),±1.9,±11.9,(X),±1.5,±8.7,,(X),±1.1,±7.5,(X),±1.1,±7.5,(X),±100.0,±100.0,(X),**,**,(X),±48.4,±48.4,(X),**,**,(X),**,**,(X),±53.4,±21.6,(X),±58.2,±25.5,,±39.9,±2.7,±6.2,±1.1,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.01, Carteret County, North Carolina!!Total!!Estimate",,59,30,16,13,0,921,60,18,299,268,130,83,63,843,146,108,75,0,92,92,5,411,378,61,310,298,80,,821,755,101,821,755,101,22,10,0,8,8,5,40,40,40,0,0,0,0,0,0,30,30,0,12,12,0,,(X),(X),(X),(X),,"23,984","18,826","24,750","27,950",-,-
"Census Tract 9707.01, Carteret County, North Carolina!!Total!!Margin of Error",,±30,±24,±15,±14,±13,±168,±53,±18,±91,±98,±58,±41,±36,±146,±67,±86,±47,±13,±48,±48,±9,±102,±97,±57,±94,±89,±37,,±162,±141,±40,±162,±141,±40,±25,±16,±13,±10,±10,±9,±55,±55,±55,±13,±13,±13,±13,±13,±13,±33,±33,±13,±19,±19,±13,,(X),(X),(X),(X),,"±10,917",±663,"±20,193","±20,869",**,**
"Census Tract 9707.01, Carteret County, North Carolina!!Percent!!Estimate",,(X),50.80%,27.10%,22.00%,0.00%,(X),6.50%,2.00%,32.50%,29.10%,14.10%,9.00%,6.80%,91.50%,15.90%,(X),69.40%,0.00%,(X),100.00%,5.40%,(X),92.00%,14.80%,(X),96.10%,25.80%,,(X),92.00%,12.30%,(X),92.00%,12.30%,(X),45.50%,0.00%,(X),100.00%,62.50%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,62.80%,19.70%,20.60%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.01, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±29.1,±22.6,±22.8,±42.8,(X),±5.2,±1.9,±8.3,±8.2,±6.6,±4.4,±3.6,±5.3,±6.9,(X),±23.4,±30.0,(X),±33.6,±10.7,(X),±5.7,±12.3,(X),±5.8,±11.9,,(X),±5.2,±5.2,(X),±5.2,±5.2,(X),±54.5,±70.1,(X),±100.0,±54.4,(X),±52.0,±52.0,(X),**,**,(X),**,**,(X),±60.1,±60.1,(X),±95.0,±95.0,,±29.5,±10.8,±12.2,±23.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.01, Carteret County, North Carolina!!Male!!Estimate",,48,30,10,8,0,459,48,0,183,141,14,29,44,411,73,33,0,0,21,21,0,234,219,26,171,171,47,,417,369,53,417,369,53,10,10,0,0,0,0,20,20,20,0,0,0,0,0,0,12,12,0,12,12,0,,(X),(X),(X),(X),,"24,922",-,"34,750","40,547","25,417",-
"Census Tract 9707.01, Carteret County, North Carolina!!Male!!Margin of Error",,±30,±24,±16,±12,±13,±111,±46,±13,±69,±76,±14,±22,±32,±97,±35,±44,±13,±13,±16,±16,±13,±74,±73,±29,±75,±75,±24,,±110,±92,±24,±110,±92,±24,±16,±16,±13,±13,±13,±13,±28,±28,±28,±13,±13,±13,±13,±13,±13,±19,±19,±13,±19,±19,±13,,(X),(X),(X),(X),,"±18,461",**,"±16,439","±36,091","±19,838",**
"Census Tract 9707.01, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),62.50%,20.80%,16.70%,0.00%,(X),10.50%,0.00%,39.90%,30.70%,3.10%,6.30%,9.60%,89.50%,15.90%,(X),0.00%,0.00%,(X),100.00%,0.00%,(X),93.60%,11.10%,(X),100.00%,27.50%,,(X),88.50%,12.70%,(X),88.50%,12.70%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,89.60%,15.30%,7.70%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.01, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±34.9,±29.6,±24.8,±47.5,(X),±9.1,±8.3,±14.3,±12.9,±3.3,±4.9,±6.6,±9.1,±7.5,(X),±57.3,±57.3,(X),±71.8,±71.8,(X),±7.2,±11.0,(X),±20.7,±16.5,,(X),±9.7,±6.4,(X),±9.7,±6.4,(X),±100.0,±100.0,(X),**,**,(X),±73.6,±73.6,(X),**,**,(X),**,**,(X),±95.0,±95.0,(X),±95.0,±95.0,,±21.4,±11.4,±12.8,±38.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.01, Carteret County, North Carolina!!Female!!Estimate",,11,0,6,5,0,462,12,18,116,127,116,54,19,432,73,75,75,0,71,71,5,177,159,35,139,127,33,,404,386,48,404,386,48,12,0,0,8,8,5,20,20,20,0,0,0,0,0,0,18,18,0,0,0,0,,(X),(X),(X),(X),,"20,357",-,"16,042",-,-,-
"Census Tract 9707.01, Carteret County, North Carolina!!Female!!Margin of Error",,±15,±13,±12,±8,±13,±78,±20,±18,±43,±46,±59,±35,±14,±75,±37,±47,±47,±13,±44,±44,±9,±50,±53,±31,±40,±34,±20,,±69,±70,±24,±69,±70,±24,±20,±13,±13,±10,±10,±9,±28,±28,±28,±13,±13,±13,±13,±13,±13,±26,±26,±13,±13,±13,±13,,(X),(X),(X),(X),,"±15,412",**,"±13,522",**,**,**
"Census Tract 9707.01, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,54.50%,45.50%,0.00%,(X),2.60%,3.90%,25.10%,27.50%,25.10%,11.70%,4.10%,93.50%,15.80%,(X),100.00%,0.00%,(X),100.00%,7.00%,(X),89.80%,19.80%,(X),91.40%,23.70%,,(X),95.50%,11.90%,(X),95.50%,11.90%,(X),0.00%,0.00%,(X),100.00%,62.50%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,,20.00%,26.70%,28.80%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.01, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±99.2,±54.5,±54.5,±99.2,(X),±4.1,±3.9,±8.4,±8.6,±11.8,±7.3,±3.1,±5.4,±7.8,(X),±38.0,±38.0,(X),±39.0,±14.3,(X),±10.6,±16.0,(X),±12.4,±13.2,,(X),±4.4,±6.0,(X),±4.4,±6.0,(X),±95.0,±95.0,(X),±100.0,±54.4,(X),±73.6,±73.6,(X),**,**,(X),**,**,(X),±77.5,±77.5,(X),**,**,,±29.9,±18.0,±19.7,±38.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.02, Carteret County, North Carolina!!Total!!Estimate",,328,50,217,61,0,"2,355",39,161,654,665,357,222,257,"2,155",479,350,334,75,656,597,170,"1,002",908,180,347,316,54,,"2,260","2,065",423,"2,132","1,946",333,24,19,0,8,8,8,30,30,23,0,0,0,0,0,0,33,33,25,128,119,90,,(X),(X),(X),(X),,"38,626","31,500","28,062","39,223","52,414",-
"Census Tract 9707.02, Carteret County, North Carolina!!Total!!Margin of Error",,±117,±49,±95,±45,±13,±329,±42,±81,±174,±193,±157,±158,±171,±333,±237,±169,±163,±59,±236,±226,±161,±185,±200,±138,±120,±112,±55,,±316,±322,±224,±333,±329,±181,±32,±30,±13,±12,±12,±12,±35,±35,±32,±13,±13,±13,±13,±13,±13,±52,±52,±47,±137,±137,±137,,(X),(X),(X),(X),,"±5,977","±23,121","±4,622","±3,912","±33,294",**
"Census Tract 9707.02, Carteret County, North Carolina!!Percent!!Estimate",,(X),15.20%,66.20%,18.60%,0.00%,(X),1.70%,6.80%,27.80%,28.20%,15.20%,9.40%,10.90%,91.50%,20.30%,(X),95.40%,21.40%,(X),91.00%,25.90%,(X),90.60%,18.00%,(X),91.10%,15.60%,,(X),91.40%,18.70%,(X),91.30%,15.60%,(X),79.20%,0.00%,(X),100.00%,100.00%,(X),100.00%,76.70%,(X),-,-,(X),-,-,(X),100.00%,75.80%,(X),93.00%,70.30%,,8.50%,13.00%,17.30%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.02, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±14.2,±14.7,±12.9,±11.5,(X),±1.8,±3.4,±6.5,±7.1,±6.3,±6.7,±6.8,±3.8,±9.3,(X),±6.3,±14.8,(X),±6.6,±21.7,(X),±6.7,±13.0,(X),±7.8,±13.5,,(X),±4.0,±9.3,(X),±4.0,±8.0,(X),±57.0,±67.2,(X),±100.0,±100.0,(X),±60.1,±53.4,(X),**,**,(X),**,**,(X),±57.3,±53.1,(X),±19.7,±47.3,,±11.6,±9.3,±12.1,±8.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.02, Carteret County, North Carolina!!Male!!Estimate",,156,50,76,30,0,"1,226",35,69,415,328,133,146,100,"1,122",246,230,228,49,308,264,69,531,482,95,157,148,33,,"1,162","1,059",198,"1,085",982,141,9,8,0,0,0,0,30,30,23,0,0,0,0,0,0,25,25,25,77,77,57,,(X),(X),(X),(X),,"45,547",-,"28,112","41,250",-,"135,826"
"Census Tract 9707.02, Carteret County, North Carolina!!Male!!Margin of Error",,±79,±49,±67,±33,±13,±207,±42,±48,±125,±124,±75,±108,±91,±215,±147,±128,±128,±50,±131,±128,±81,±123,±119,±91,±79,±79,±49,,±194,±201,±130,±201,±201,±97,±12,±12,±13,±13,±13,±13,±35,±35,±32,±13,±13,±13,±13,±13,±13,±47,±47,±47,±88,±88,±88,,(X),(X),(X),(X),,"±15,481",**,"±6,819","±32,418",**,"±46,244"
"Census Tract 9707.02, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),32.10%,48.70%,19.20%,0.00%,(X),2.90%,5.60%,33.80%,26.80%,10.80%,11.90%,8.20%,91.50%,20.10%,(X),99.10%,21.30%,(X),85.70%,22.40%,(X),90.80%,17.90%,(X),94.30%,21.00%,,(X),91.10%,17.00%,(X),90.50%,13.00%,(X),88.90%,0.00%,(X),-,-,(X),100.00%,76.70%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,74.00%,,2.90%,20.50%,10.00%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9707.02, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±30.2,±29.6,±19.8,±22.4,(X),±3.5,±3.9,±8.9,±8.1,±6.2,±8.7,±7.0,±5.5,±11.0,(X),±1.4,±20.3,(X),±14.6,±21.8,(X),±7.9,±16.1,(X),±8.2,±24.8,,(X),±5.7,±10.6,(X),±6.0,±8.5,(X),±33.9,±100.0,(X),**,**,(X),±60.1,±53.4,(X),**,**,(X),**,**,(X),±65.8,±65.8,(X),±37.5,±52.6,,±4.0,±13.5,±13.7,±15.0,,(X),(X),(X),(X),(X),(X)
